context_id	word	gold_sense_id	predict_sense_id	positions	context
1	балка	1		90-94	маленький комната очень высокий наклонить голова подпирать плечо потолочный балка смотреть сьянов серьезный черный глаз москва испытывать здесь
2	балка	1		69-73	пантюхин склифа сейчас выползти улица успевать золотков балка обрушиться эх душа компания парень 28-летний геннадий так
3	балка	1		115-121	равнозначный обеспечивать меланхоличный езда цельнометаллический тело усиленный передний задний поперечный балка наряду работа подвеска превращать машина глыба плоскость вросать
4	балка	1		85-90	верхний часть закрывать замкнуть многократно обрамлять конец конец тяжелый балка придавливать широкий многоступенчатый карниз роль архитектурный небо выполнять здесь легкий стрельчатый
5	балка	1		66-70	телевизор гол забивать вскакивать радость врезаться балка дело низенький мансарда случай
6	балка	1		77-81	взглянуть стена театр цум видеть торчать железный балка стяжка пронзать здание насквозь идти коридор натыкаться
7	балка	1		85-89	плита приваренный стойка смонтировать дисковый батарея продольный балка рама монтировать кронштейн вертикальный регулировочный тяга
8	балка	1		57-61	засунуть свертка один место балка изгиб печной труба квартира почти всегда печной дымоход
9	балка	1		100-104	активно идти работа переработка металлолом затем использовать изготовление арматура балка труба генеральный директор «укрметалла» анатолий колесник заявлять переработка металлолом
10	балка	1		101-106	основание находиться место где частенько собираться подросток рисунок граффити пошлый надпись балка нести опора банк пива. вверху самый свод надпись «ц. артем
11	балка	1		97-101	ценить исторический архитектура бережно подходить материал собирать старый деревянный балка чугунный колонна кирпич интегрироваться здание» отмечать александр подусков директор
12	балка	1		90-95	дело следствие переход конкурентный рынок вагон колесный пара надрессорный балка так сегодня уже быть покупатель ряд случай
13	балка	1		103-107	дом упаковать проблема современный биохимия биофизик цитология фармакология опорный балка мембрана лифт ионный канал клетка входной дверь рецептор
14	балка	1		74-78	удар колесо стык рельс становиться звонкий мимо окно понестись ржавый балка мост видный широкий голубой полоса неизвестный река
15	балка	1		90-94	глушков работать безумный исступление безумие помогать ворочать тяжелый балка совершать работа сила березкин снова видеть неприглядный
16	балка	1		80-84	дрок упорно таскать место облюбовывать постройка старый балка стропило доска наконец заводить тачка начинать издалека привозить дикий
17	балка	1		97-101	-риг река вазуз местный житель спуститься прополоскать белье видеть подвесить балка тело неизвестный парень вызывать полиция подросток покончить жизнь самоубийство повешение
18	балка	1		82-86	основной сегодня являться версия причина авария становиться обрушение балка перекрытие связь «усталостий металла»
19	балка	1		94-98	видно небо быть дома особенно небольшой раскрошиться крыша обрушиться балка доска косо повисать казаться еще рушиться вечно
20	балка	1		63-69	пресня ломать старинный дом третий ярус падать балка рухнуться опустить вред царапина еще спаситель очень старинный
21	балка	1		80-85	лазить гореть здание огонь опаливать волос задавливать рухнуть балка помогать вытаскивать убогий пожитки бедняк подвальный жилище стоять пояс
22	балка	1		64-68	добавлять балка второй конец балка второй конец балка add beam e1 добавлять балка первый конец балка
23	балка	1		91-95	надобность битый бутылка желтый электролампа колпак свешиваться деревянный балка самоубийца свет тускнеть разгораться движок электростанция
24	балка	1		78-82	рост случай предварительно позаботиться отходить балка становиться самый глубокий место пол грубый скамья стол
25	балка	1		74-78	э.г.отис небоскреб состоять фундамент стальной каркас колонна балка земля стена завес прикреплять балка небоскры
26	балка	1		64-69	колонна балка земля стена завес прикреплять балка небоскребо основной нагрузка нести стальной каркас стена
27	балка	1		92-96	мина слово губернатор вывод можно делать разрушение основной титановый балка практика крушение самолет еще быть потому быть большой
28	балка	1		69-75	дом полностью снесать шифер крыша дом сносить крыша балка местный детский сад поврежденный кровля частично выбивать стекло
29	балка	1		94-98	едва озарявший взволнованный лицо трепетный свет можно разглядеть деревянный балка крыша наивный роспись стена добрый пастырь овца
30	балка	1		93-97	гашек талисман «металлурга» лисенок быть сила колотить подвесить металлический ноу-хау магнитогорск паровозный гудок герой утопать
31	балка	1		79-83	лужков любезный доложить мэр проект профессор деньги стойка балка ребенок надо немного мочь быть меньше памятник петр
32	балка	1		86-90	случай часто наступать самый «реактивный момент» задний винт сносить балка экипаж конец пытаться сажать уйти «вразнос» машина почему делать
33	балка	1		78-82	стена потолок башня быть давно обваливаться один лусгнить балка пушка торчать каменный стена толстый замшелый стена
34	балка	1		80-84	хотеть делать официальный заявление действительно балка взрываться самолет разваливаться прямо воздух мелкий кусок дело
35	балка	1		85-89	цветаева «он висеть невысоко пол гвоздь вбить поперечный потолочный балка тонкий крепкий шнуре» причина гибель марина цветаева множество постепенно подбираться
36	балка	1		56-60	свободный узел add beam e2 добавлять балка второй конец балка свободный узел параметр
37	балка	1		92-97	окно зиять франтоватый прежде арабский стиль городской купальня стоять двутавровый балка самый море деревянный кофейня вычурно раскрасить носить шутливый название «поплавок»
38	балка	1		92-96	вместе плотника обычай называться «окладно» стена срубить прокладывать потолочный балка матица опять плотник угощенье «матешно» крыша тес закрывать сверху князев
39	балка	1		72-77	точить колесный бандажа надевать ось старый грязь копоть висеть балка махры пахнуть сырость мазут разрежать свет осень мертвый сиять механизм
40	балка	1		73-78	выбить золотой зуб теперь находить консервы много балка канава ржавый жестянка свистеть дырье ветер одуревать вина
41	балка	1		111-115	эксперт устанавливать причина авария брак металлоконструкция нарушить технология изготовление балка нести покрытие здания» специалист «городский центр экспертиз» видеть факт начальный
42	балка	1		94-98	светлый тон выделять кирпичный подчеркивать линия крыша умеренно оттенять деревянный балка
43	балка	1		86-90	посуда франция материал брать прямо природа грубый каменный стена деревянный балка потолок керамический деревянный посуда россия популярный «англия» «франция»
44	балка	1		107-111	слово серебренников там «катастрофа катастрофе» протекать крыша старый коммуникация сгнить балка пока реконструкция касаться зал превратить универсальный зал
45	балка	1		93-97	просторный гулкий плохо осветить здание уже вовсю сновать строитель лежать огромный железный балка слышный удар инструмент скрежет машина сварка маэстро немного растериваться
46	балка	1		80-85	закрутиться свиться сизый черный дым устремляться потолок смолистый балка истопка уже задыхаться дым плотно прижаться прохладный земляной
47	балка	1		85-89	доллар американец любить вспоминать уже становиться легенда авиационный круг балку» год поперечный балка основа шасси самолет семейство
48	балка	1		103-107	свободно делать перепланировка переставлять перегородка внутри квартира нельзя затрагивать балка каркас расположенный потолок колонна смотреть схема серия
49	балка	1		81-87	можно останавливаться классический номер так «эстонском» деревянный балка сводчатый потолок плетеный коврик прочее сервис отель уже опробовать
50	балка	1		84-88	плед вздрагивать молния освещавший небо треск валить балка деревня господствовать большой смятение рыдание стон крик десяток голос
51	балка	1		108-112	математический модель например кораблестроения трёхмерный корпус судно рассматривать вид одномерный балка уже давно существовать методика расчет случай обпс
52	балка	1		95-99	автотранспорт мост давать возможность грузовик быстро отвозить поднимать вода бетонный балка мост хорошо видно широко разлиться река казаться маленький дом
53	балка	1		80-84	зпа пулемет стрелять фюзеляж гораздо сподручный узкий хвостовой балка опыт афганский война война ангола конго ближний восток
54	балка	1		88-92	здание полуразрушенный погреб -ледник таяние снег грунтовой вода нести балка исторический сооружение серьезно повредиться компания застройщик ооо форум» начинать возводить
55	балка	1		59-63	первый конец балка addbeame добавлять балка второй конец балка первый конец балка
56	балка	1		79-83	опытный другой чуть брать руль туда задний колесо заскользивать балка грузовик проваливаться повисать кардан балка счастье
57	балка	1		79-83	whelen hhs динамик -громкоговоритель фирма светодиодный оснащение менее светомодуль мигалка далеко простой пример
58	балка	1		82-86	угол угол косо протянуть труба нара заваливать пальто телогрейка прогнивать балка оклеить цветной фотография журнал тумбочка громоздиться немытый посуда скинуть
59	балка	1		122-127	размещение небольшой спортивный сумка пространство багажный отделение несколько ограничивать расположенный кузов балка жесткость однако вполне хватать повседневный жизнь связывать перевозка
60	балка	1		84-88	стоить смерть восклицать ян метнуть нож воткнуться балка спина отец «та хотеть смерть отвечать прежде хорошенько подумай»
61	балка	1		71-75	подходить причал вытаскивать цепь обмотать железный балка вешать замок проверить хороший закрывать аккуратно класть ключ
62	балка	1		75-81	комната комната крошечный окно низкий кривой потолок балка внутрь известковый стена синий сырость узенький железный кровать стол
